id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,local_region
3632,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,125,California,CA
3754,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,680,Illinois,IL
3622,KJFK,large_airport,John F Kennedy International Airport,40.639447,-73.779317,13,New York,NY
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,Georgia,GA
3878,KSFO,large_airport,San Francisco International Airport,37.619806,-122.374821,13,California,CA
3521,KEWR,large_airport,Newark Liberty International Airport,40.692501,-74.168701,18,New Jersey,NJ
3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,Texas,TX
3631,KLAS,large_airport,Harry Reid International Airport,36.083361,-115.151817,2181,Nevada,NV
3670,KMCO,large_airport,Orlando International Airport,28.429399490356445,-81.30899810791016,96,Florida,FL
3486,KDEN,large_airport,Denver International Airport,39.861698150635,-104.672996521,5431,Colorado,CO
3602,KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,312,Virginia,VA
3643,KLGA,large_airport,La Guardia Airport,40.777199,-73.872597,21,New York,NY
3685,KMIA,large_airport,Miami International Airport,25.79319953918457,-80.29060363769531,8,Florida,FL
3772,KPHX,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,1135,Arizona,AZ
3875,KSEA,large_airport,Seattle–Tacoma International Airport,47.447943,-122.310276,433,Washington,WA
3422,KBOS,large_airport,Logan International Airport,42.36197,-71.0079,20,Massachusetts,MA
3771,KPHL,large_airport,Philadelphia International Airport,39.871899,-75.241096,36,Pennsylvania,PA
3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,748,North Carolina,NC
3604,KIAH,large_airport,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,97,Texas,TX
3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,District of Columbia,DC
3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,645,Michigan,MI
3709,KMSP,large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,841,Minnesota,MN
3887,KSLC,large_airport,Salt Lake City International Airport,40.78886,-111.979866,4227,Utah,UT
3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,Florida,FL
3673,KMDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,620,Illinois,IL
3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,Maryland,MD
3862,KSAN,large_airport,San Diego International Airport,32.7336006165,-117.190002441,17,California,CA
3905,KSTL,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,618,Missouri,MO
5453,PHNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,13,Hawaii,HI
3768,KPDX,large_airport,Portland International Airport,45.588699,-122.598,31,Oregon,OR
3711,KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.993401,-90.258003,4,Louisiana,LA
3926,KTPA,large_airport,Tampa International Airport,27.9755,-82.533203,26,Florida,FL
3420,KBNA,large_airport,Nashville International Airport,36.1245,-86.6782,599,Tennessee,TN
3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,896,Kentucky,KY
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542,Texas,TX
3844,KRDU,large_airport,Raleigh Durham International Airport,35.877602,-78.787498,435,North Carolina,NC
3778,KPIT,large_airport,Pittsburgh International Airport,40.491501,-80.232903,1203,Pennsylvania,PA
3883,KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,62,California,CA
3668,KMCI,large_airport,Kansas City International Airport,39.2976,-94.713898,1026,Missouri,MO
3863,KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,809,Texas,TX
3744,KOAK,large_airport,Metropolitan Oakland International Airport,37.720085,-122.221184,9,California,CA
3894,KSNA,large_airport,John Wayne Orange County International Airport,33.675701,-117.867996,56,California,CA
3675,KMEM,large_airport,Memphis International Airport,35.0424,-89.9767,341,Tennessee,TN
3588,KHOU,medium_airport,William P Hobby Airport,29.645399,-95.2789,46,Texas,TX
3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.411701,-81.8498,791,Ohio,OH
3610,KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,797,Indiana,IN
3479,KDAL,medium_airport,Dallas Love Field,32.847099,-96.851799,487,Texas,TX
3458,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,Ohio,OH
16091,KABQ,large_airport,Albuquerque International Sunport,35.039976,-106.608925,5355,New Mexico,NM
3690,KMKE,large_airport,General Mitchell International Airport,42.947201,-87.896599,723,Wisconsin,WI
3932,KTUS,medium_airport,Tucson International Airport / Morris Air National Guard Base,32.115004,-110.938053,2643,Arizona,AZ
3620,KJAX,large_airport,Jacksonville International Airport,30.492469,-81.687813,30,Florida,FL
3431,KBUF,large_airport,Buffalo Niagara International Airport,42.940498,-78.732201,728,New York,NY
3396,KBDL,large_airport,Bradley International Airport,41.93851,-72.688066,173,Connecticut,CT
5388,PANC,large_airport,Ted Stevens Anchorage International Airport,61.179004,-149.992561,152,Alaska,AK
3747,KOKC,large_airport,Will Rogers World Airport,35.393388,-97.598248,1295,Oklahoma,OK
5455,PHOG,large_airport,Kahului International Airport,20.896263,-156.431837,54,Hawaii,HI
3892,KSMF,large_airport,Sacramento International Airport,38.6954,-121.591003,27,California,CA
3766,KPBI,large_airport,Palm Beach International Airport,26.683201,-80.095596,19,Florida,FL
3751,KOMA,large_airport,Eppley Airfield,41.3032,-95.894096,984,Nebraska,NE
3432,KBUR,medium_airport,Bob Hope Airport,34.197703,-118.356378,778,California,CA
3450,KCHS,medium_airport,Charleston International Airport,32.898602,-80.040497,46,South Carolina,SC
3873,KSDF,large_airport,Louisville Muhammad Ali International Airport,38.1744,-85.736,501,Kentucky,KY
3853,KRNO,large_airport,Reno Tahoe International Airport,39.4991,-119.767998,4415,Nevada,NV
3795,KPVD,large_airport,Theodore Francis Green State Airport,41.725038,-71.425668,55,Rhode Island,RI
3755,KORF,large_airport,Norfolk International Airport,36.895341,-76.201,26,Virginia,VA
3512,KELP,medium_airport,El Paso International Airport,31.807199,-106.377998,3959,Texas,TX
3644,KLGB,medium_airport,Long Beach Airport (Daugherty Field),33.816523,-118.149891,60,California,CA
3847,KRIC,large_airport,Richmond International Airport,37.505199,-77.319702,167,Virginia,VA
3864,KSAV,large_airport,Savannah Hilton Head International Airport,32.127602,-81.202103,50,Georgia,GA
3858,KRSW,large_airport,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,30,Florida,FL
3406,KBHM,medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,650,Alabama,AL
5448,PHKO,medium_airport,Ellison Onizuka Kona International Airport at Keahole,19.738783,-156.045603,47,Hawaii,HI
3589,KHPN,medium_airport,Westchester County Airport,41.06700134277344,-73.70760345458984,439,New York,NY
3371,KALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,285,New York,NY
3421,KBOI,medium_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,Idaho,ID
3752,KONT,large_airport,Ontario International Airport,34.056,-117.600998,944,California,CA
3913,KSYR,large_airport,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,421,New York,NY
3566,KGRR,medium_airport,Gerald R. Ford International Airport,42.88079834,-85.52279663,794,Michigan,MI
3855,KROC,medium_airport,Frederick Douglass Greater Rochester International Airport,43.1189,-77.672401,559,New York,NY
3496,KDSM,medium_airport,Des Moines International Airport,41.534,-93.663101,958,Iowa,IA
3481,KDAY,medium_airport,James M Cox Dayton International Airport,39.902401,-84.219398,1009,Ohio,OH
3605,KICT,medium_airport,Wichita Eisenhower National Airport,37.649899,-97.433098,1333,Kansas,KS
3757,KOSH,medium_airport,Wittman Regional Airport,43.98440170288086,-88.55699920654297,808,Wisconsin,WI
3645,KLIT,medium_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729582,-92.223728,262,Arkansas,AR
3552,KGEG,medium_airport,Spokane International Airport,47.6199,-117.533997,2376,Washington,WA
3707,KMSN,medium_airport,Dane County Regional Truax Field,43.1399,-89.337502,887,Wisconsin,WI
3930,KTUL,large_airport,Tulsa International Airport,36.19839859008789,-95.88809967041016,677,Oklahoma,OK
3796,KPWM,large_airport,Portland International Jetport,43.646198,-70.309303,76,Maine,ME
3463,KCOS,medium_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,Colorado,CO
3684,KMHT,medium_airport,Manchester-Boston Regional Airport,42.932598,-71.435699,266,New Hampshire,NH
3938,KTYS,medium_airport,McGhee Tyson Airport,35.811001,-83.994003,981,Tennessee,TN
3430,KBTV,medium_airport,Burlington International Airport,44.471901,-73.153297,335,Vermont,VT
